
"Requirement Type","ID","Parent ID","Name","Short Description","Description","Status","Author","Suspect","Priority","Req ID","Message Key","Source"
"02 SRF Functional Requirements","FR--1.7.1","FR--1.7","Entry - Enter Department Of Mental Health (DMH) Record","Enter a DMH record in the SRF when the EMH message (DMH entry format) is accepted.","Enter a DMH record in the SRF when the EMH message (DMH entry format) is accepted.","New","hofmanc","False","Unassigned","1/7/2001","EMH",""
"02 SRF Functional Requirements","FR--1.7.2","FR--1.7","Entry - Enter Department Of Mental Health (DMH) Record","Enforce all business rules for the EMH message (DMH entry format) prior to adding a DMH record in the SRF.","Enforce all business rules for the EMH message (DMH entry format) prior to adding a DMH record in the SRF.","New","hofmanc","False","Unassigned","1/7/2002","EMH",""
"02 SRF Functional Requirements","FR--2"," ","Modify","None","None","New","hofmanc","False","Unassigned","2","",""
"02 SRF Functional Requirements","FR--2.1","FR--2","Modify - General","None","None","New","hofmanc","False","Unassigned","2/1/2008","",""
"02 SRF Functional Requirements","FR--2.1.1","FR--2.1","Modify - General","Only allow the originating agency of a supervised release file record, or specified DOJ mnemonics, to modify the record. A record entered by one agency cannot be modified by another agency.","Only allow the originating agency of a supervised release file record, or specified DOJ mnemonics, to modify the record. A record entered by one agency cannot be modified by another agency.","New","hofmanc","False","Unassigned","2/1/2001","",""
"02 SRF Functional Requirements","FR--2.1.2","FR--2.1","Modify - General","Allow mandatory data fields to be modified, but not deleted.","Allow mandatory data fields to be modified, but not deleted.","New","hofmanc","False","Unassigned","2/1/2002","",""
"02 SRF Functional Requirements","FR--2.1.3","FR--2.1","Modify - General","Reject a modify message if a modification to a data field will cause a duplicate record to be created.","Reject a modify message if a modification to a data field will cause a duplicate record to be created.","New","hofmanc","False","Unassigned","2/1/2003","",""
"02 SRF Functional Requirements","FR--2.1.4","FR--2.1","Modify - General","Not allow the originating agency to modify the Message Key (MKE), ORI, File Control Number (FCN), and the NCIC Number (NIC) fields.","Not allow the originating agency to modify the Message Key (MKE), ORI, File Control Number (FCN), and the NCIC Number (NIC) fields.","New","hofmanc","False","Unassigned","2/1/2004","",""
"02 SRF Functional Requirements","FR--2.1.5","FR--2.1","Modify - General","Not allow the data fields to be modified unless the name field is spelled and spaced exactly the same.","Not allow the data fields to be modified unless the name field is spelled and spaced exactly the same.","New","hofmanc","False","Unassigned","2/1/2005","",""
"02 SRF Functional Requirements","FR--2.1.6","FR--2.1","Modify - General","Require the old value, a period, then the new value with the period as a position indicator (e.g., DFC/old.new = AKA/NAME,OLD.NAME,NEW) when modifying a supervised release file record in the SRF when a message (multiple occurring fields modify format) is used.","Require the old value, a period, then the new value with the period as a position indicator (e.g., DFC/old.new = AKA/NAME,OLD.NAME,NEW) when modifying a supervised release file record in the SRF when a message (multiple occurring fields modify format) is used.","New","hofmanc","False","Unassigned","2/1/2006","",""
"02 SRF Functional Requirements","FR--2.1.7","FR--2.1","Modify - General","Require the old value to be blank, a period, then the new value with the period as a position indicator (e.g., DFC/.new = AKA/.NAME,NEW) when adding a new multiple occurring field to a supervised release file record in the SRF when a message (multiple occurring fields modify format) is used.","Require the old value to be blank, a period, then the new value with the period as a position indicator (e.g., DFC/.new = AKA/.NAME,NEW) when adding a new multiple occurring field to a supervised release file record in the SRF when a message (multiple occurring fields modify format) is used.","New","hofmanc","False","Unassigned","2/1/2007","",""
"02 SRF Functional Requirements","FR--2.1.8","FR--2.1","Modify - General","Require the old value, a period, then the new value to be blank with the period as a position indicator (e.g., DFC/old. = AKA/NAME,OLD.) when deleting a multiple occurring field from a supervised release file record in the SRF when a message (multiple occurring fields modify format) is used.","Require the old value, a period, then the new value to be blank with the period as a position indicator (e.g., DFC/old. = AKA/NAME,OLD.) when deleting a multiple occurring field from a supervised release file record in the SRF when a message (multiple occurring fields modify format) is used.","New","hofmanc","False","Unassigned","2/1/2008","",""
"02 SRF Functional Requirements","FR--2.1.9","FR--2.1","Modify - General","Only allow up to nine fields to be modified in any one message. Each data field code (DFC) can only be used once per modify message.","Only allow up to nine fields to be modified in any one message. Each data field code (DFC) can only be used once per modify message.","New","hofmanc","False","Unassigned","2/1/2009","",""
"02 SRF Functional Requirements","FR--2.2","FR--2","Modify - Modify County Probation Record","None","None","New","hofmanc","False","Unassigned","2/2/2008","",""
"02 SRF Functional Requirements","FR--2.2.1","FR--2.2","Modify - Modify County Probation Record","Modify a county probation record in the SRF when the MPR message (county probation modify format) is accepted.","Modify a county probation record in the SRF when the MPR message (county probation modify format) is accepted.","New","hofmanc","False","Unassigned","2/2/2001","MPR",""
"02 SRF Functional Requirements","FR--2.2.2","FR--2.2","Modify - Modify County Probation Record","Enforce all business rules for the MPR message (county probation modify format) prior to modifying a county probation record in the SRF.","Enforce all business rules for the MPR message (county probation modify format) prior to modifying a county probation record in the SRF.","New","hofmanc","False","Unassigned","2/2/2002","MPR",""
"02 SRF Functional Requirements","FR--2.3","FR--2","Modify - Modify Federal Probation Record","None","None","New","hofmanc","False","Unassigned","2/3/2008","",""
"02 SRF Functional Requirements","FR--2.3.1","FR--2.3","Modify - Modify Federal Probation Record","Modify a federal probation record in the SRF when the MFR message (federal probation modify format) is accepted.","Modify a federal probation record in the SRF when the MFR message (federal probation modify format) is accepted.","New","hofmanc","False","Unassigned","2/3/2001","MFR",""
"02 SRF Functional Requirements","FR--2.3.2","FR--2.3","Modify - Modify Federal Probation Record","Enforce all business rules for the MFR message (federal probation modify format) prior to modifying a federal probation record in the SRF.","Enforce all business rules for the MFR message (federal probation modify format) prior to modifying a federal probation record in the SRF.","New","hofmanc","False","Unassigned","2/3/2002","MFR",""
"02 SRF Functional Requirements","FR--2.4","FR--2","Modify - Modify Career Criminal Record","None","None","New","hofmanc","False","Unassigned","2/4/2008","",""
"02 SRF Functional Requirements","FR--2.4.1","FR--2.4","Modify - Modify Career Criminal Record","Modify a career criminal record in the SRF when the MCR message (career criminal modify format) is accepted.","Modify a career criminal record in the SRF when the MCR message (career criminal modify format) is accepted.","New","hofmanc","False","Unassigned","2/4/2001","MCR",""
"02 SRF Functional Requirements","FR--2.4.2","FR--2.4","Modify - Modify Career Criminal Record","Enforce all business rules for the MCR message (career criminal modify format) prior to modifying a career criminal record in the SRF.","Enforce all business rules for the MCR message (career criminal modify format) prior to modifying a career criminal record in the SRF.","New","hofmanc","False","Unassigned","2/4/2002","MCR",""
"02 SRF Functional Requirements","FR--2.5","FR--2","Modify - Modify California Department Of Corrections (CDCR) Record","None","None","New","hofmanc","False","Unassigned","2/5/2008","",""
"02 SRF Functional Requirements","FR--2.5.1","FR--2.5","Modify - Modify California Department Of Corrections (CDCR) Record","Modify a CDCR record in the SRF when the MCA message (CDCR modify format) is accepted.","Modify a CDCR record in the SRF when the MCA message (CDCR modify format) is accepted.","New","hofmanc","False","Unassigned","2/5/2001","MCA",""
"02 SRF Functional Requirements","FR--2.5.2","FR--2.5","Modify - Modify California Department Of Corrections (CDCR) Record","Enforce all business rules for the MCA message (CDCR modify format) prior to modifying a CDCR record in the SRF.","Enforce all business rules for the MCA message (CDCR modify format) prior to modifying a CDCR record in the SRF.","New","hofmanc","False","Unassigned","2/5/2002","MCA",""
"02 SRF Functional Requirements","FR--2.6","FR--2","Modify - Modify California Youth Authority (CYA) Record","None","None","New","hofmanc","False","Unassigned","2/6/2008","",""
"02 SRF Functional Requirements","FR--2.6.1","FR--2.6","Modify - Modify California Youth Authority (CYA) Record","Modify a CYA record in the SRF when the MYA message (CYA modify format) is accepted.","Modify a CYA record in the SRF when the MYA message (CYA modify format) is accepted.","New","hofmanc","False","Unassigned","2/6/2001","MYA",""
"02 SRF Functional Requirements","FR--2.6.2","FR--2.6","Modify - Modify California Youth Authority (CYA) Record","Enforce all business rules for the MYA message (CYA modify format) prior to modifying a CYA record in the SRF.","Enforce all business rules for the MYA message (CYA modify format) prior to modifying a CYA record in the SRF.","New","hofmanc","False","Unassigned","2/6/2002","MYA",""
"02 SRF Functional Requirements","FR--2.7","FR--2","Modify - Modify Department Of Mental Health (DMH) Record","None","None","New","hofmanc","False","Unassigned","2/7/2008","",""
"02 SRF Functional Requirements","FR--2.7.1","FR--2.7","Modify - Modify Department Of Mental Health (DMH) Record","Modify a DMH record in the SRF when the MMH message (DMH modify format) is accepted.","Modify a DMH record in the SRF when the MMH message (DMH modify format) is accepted.","New","hofmanc","False","Unassigned","2/7/2001","MMH",""
"02 SRF Functional Requirements","FR--2.7.2","FR--2.7","Modify - Modify Department Of Mental Health (DMH) Record","Enforce all business rules for the MMH message (DMH modify format) prior to modifying a DMH record in the SRF.","Enforce all business rules for the MMH message (DMH modify format) prior to modifying a DMH record in the SRF.","New","hofmanc","False","Unassigned","2/7/2002","MMH",""
"02 SRF Functional Requirements","FR--2.8","FR--2","Modify - Modify Arson Registrant (ARG) Record","None","None","New","hofmanc","False","Unassigned","2/8/2008","",""
"02 SRF Functional Requirements","FR--2.8.1","FR--2.8","Modify - Modify Arson Registrant (ARG) Record","Only allow specified DOJ mnemonics to modify a SRF record utilizing an MAR message key.","Only allow specified DOJ mnemonics to modify a SRF record utilizing an MAR message key.","New","hofmanc","False","Unassigned","2/8/2001","MAR",""
"02 SRF Functional Requirements","FR--2.8.2","FR--2.8","Modify - Modify Arson Registrant (ARG) Record","Modify an ARG record in the SRF when the MAR message (ARG modify format) is accepted.","Modify an ARG record in the SRF when the MAR message (ARG modify format) is accepted.","New","hofmanc","False","Unassigned","2/8/2002","MAR",""
"02 SRF Functional Requirements","FR--2.8.3","FR--2.8","Modify - Modify Arson Registrant (ARG) Record","Enforce all business rules for the MAR message (ARG modify format) prior to modifying an ARG record in the SRF.","Enforce all business rules for the MAR message (ARG modify format) prior to modifying an ARG record in the SRF.","New","hofmanc","False","Unassigned","2/8/2003","MAR",""
"02 SRF Functional Requirements","FR--2.9","FR--2","Modify - Modify Sex Registrant (SRG) Record","None","None","New","hofmanc","False","Unassigned","2/9/2008","",""
"02 SRF Functional Requirements","FR--2.9.1","FR--2.9","Modify - Modify Sex Registrant (SRG) Record","Only allow specified DOJ mnemonics to modify a SRF record utilizing an MSR message key.","Only allow specified DOJ mnemonics to modify a SRF record utilizing an MSR message key.","New","hofmanc","False","Unassigned","2/9/2001","MSR",""
"02 SRF Functional Requirements","FR--2.9.2","FR--2.9","Modify - Modify Sex Registrant (SRG) Record","Modify a SRG record in the SRF when the MSR message (SRG modify format) is accepted.","Modify a SRG record in the SRF when the MSR message (SRG modify format) is accepted.","New","hofmanc","False","Unassigned","2/9/2002","MSR",""
"02 SRF Functional Requirements","FR--2.9.3","FR--2.9","Modify - Modify Sex Registrant (SRG) Record","Enforce all business rules for the MSR message (SRG modify format) prior to modifying a SRG record in the SRF.","Enforce all business rules for the MSR message (SRG modify format) prior to modifying a SRG record in the SRF.","New","hofmanc","False","Unassigned","2/9/2003","MSR",""
"02 SRF Functional Requirements","FR--2.10","FR--2","Modify - NCIC NIC Modify Format","None","None","New","hofmanc","False","Unassigned","2/10/2008","",""
"02 SRF Functional Requirements","FR--2.10.1","FR--2.10","Modify - NCIC NIC Modify Format","Add the NCIC SRF File NIC to the NIC field and when the MNIC message (NCIC NIC modify format) is accepted.","Add the NCIC SRF File NIC to the NIC field and when the MNIC message (NCIC NIC modify format) is accepted.","New","hofmanc","False","Unassigned","2/10/2001","MNIC",""
"02 SRF Functional Requirements","FR--2.10.2","FR--2.10","Modify - NCIC NIC Modify Format","Enforce all business rules for the MNIC message (NCIC NIC modify format) prior to modifying the NIC field of a supervised release file record in the SRF.","Enforce all business rules for the MNIC message (NCIC NIC modify format) prior to modifying the NIC field of a supervised release file record in the SRF.","New","hofmanc","False","Unassigned","2/10/2002","MNIC",""
"02 SRF Functional Requirements","FR--3"," ","Cancel","None","None","New","hofmanc","False","Unassigned","3","",""
"02 SRF Functional Requirements","FR--3.1","FR--3","Cancel - Cancel Supervised Release File Record","None","None","New","hofmanc","False","Unassigned","3/1/2008","",""
"02 SRF Functional Requirements","FR--3.1.1","FR--3.1","Cancel - Cancel Supervised Release File Record","Only allow the originating agency of SRF record or specified DOJ mnemonics to cancel a record.","Only allow the originating agency of SRF record or specified DOJ mnemonics to cancel a record.","New","hofmanc","False","Unassigned","3/1/2001","",""
"02 SRF Functional Requirements","FR--3.1.2","FR--3.1","Cancel - Cancel Supervised Release File Record","Cancel a supervised release file record in the SRF and move the record to the history file when the XVC message is accepted.","Cancel a supervised release file record in the SRF and move the record to the history file when the XVC message is accepted.","New","hofmanc","False","Unassigned","3/1/2002","XVC",""
"02 SRF Functional Requirements","FR--3.1.2.1","FR--3.1.2","Cancel - Cancel Supervised Release File Record","Cancel a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""2"".","Cancel a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""2"".","New","hofmanc","False","Unassigned","3.1.2.1","XVC",""
"02 SRF Functional Requirements","FR--3.1.2.2","FR--3.1.2","Cancel - Cancel Supervised Release File Record","Clear a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""1"".","Clear a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""1"".","New","hofmanc","False","Unassigned","3.1.2.2","XVC",""
"02 SRF Functional Requirements","FR--3.1.3","FR--3.1","Cancel - Cancel Supervised Release File Record","Enforce all business rules for the XVC message prior to canceling a supervised release file record in the SRF.","Enforce all business rules for the XVC message prior to canceling a supervised release file record in the SRF.","New","hofmanc","False","Unassigned","3/1/2003","XVC",""
"02 SRF Functional Requirements","FR--3.2","FR--3","Cancel - Cancel SRF History Record","None","None","New","hofmanc","False","Unassigned","3/2/2008","",""
"02 SRF Functional Requirements","FR--3.2.1","FR--3.2","Cancel - Cancel SRF History Record","Only allow specified DOJ mnemonics to cancel a SRF History record utilizing an XTC message key.","Only allow specified DOJ mnemonics to cancel a SRF History record utilizing an XTC message key.","New","hofmanc","False","Unassigned","3/2/2001","",""
"02 SRF Functional Requirements","FR--3.2.2","FR--3.2","Cancel - Cancel SRF History Record","Cancel a supervised release file record in the SRF, cancel all corresponding contact messages, and remove the record from the history file when the XTC message is accepted.","Cancel a supervised release file record in the SRF, cancel all corresponding contact messages, and remove the record from the history file when the XTC message is accepted.","New","hofmanc","False","Unassigned","3/2/2002","XTC",""
"02 SRF Functional Requirements","FR--3.2.3","FR--3.2","Cancel - Cancel SRF History Record","Enforce all business rules for the XTC message prior to canceling a supervised release file record in the SRF.","Enforce all business rules for the XTC message prior to canceling a supervised release file record in the SRF.","New","hofmanc","False","Unassigned","3/2/2003","XTC",""
"02 SRF Functional Requirements","FR--3.3","FR--3","Cancel - Cancel SRF Record (CDCR Specific)","None","None","New","hofmanc","False","Unassigned","3/3/2008","",""
"02 SRF Functional Requirements","FR--3.3.1","FR--3.3","Cancel - Cancel SRF Record (CDCR Specific)","Only allow the originating agency of a SRF record or specified DOJ mnemonics to cancel a record.","Only allow the originating agency of a SRF record or specified DOJ mnemonics to cancel a record.","New","hofmanc","False","Unassigned","3/3/2001","",""
"02 SRF Functional Requirements","FR--3.3.2","FR--3.3","Cancel - Cancel SRF Record (CDCR Specific)","Cancel a supervised release file record (CDCR Specific) in the SRF and move the record to the history file when the XRC message is accepted.","Cancel a supervised release file record (CDCR Specific) in the SRF and move the record to the history file when the XRC message is accepted.","New","hofmanc","False","Unassigned","3/3/2002","XRC",""
"02 SRF Functional Requirements","FR--3.3.2.1","FR--3.3.2","Cancel - Cancel SRF Record (CDCR Specific)","Cancel a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""2"".","Cancel a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""2"".","New","hofmanc","False","Unassigned","3.3.2.1","XRC",""
"02 SRF Functional Requirements","FR--3.3.2.2","FR--3.3.2","Cancel - Cancel SRF Record (CDCR Specific)","Clear a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""1"".","Clear a supervised release file record in the SRF and move the record to the history file when the RFC data field code is ""1"".","New","hofmanc","False","Unassigned","3.3.2.2","XRC",""
"02 SRF Functional Requirements","FR--3.3.3","FR--3.3","Cancel - Cancel SRF Record (CDCR Specific)","Enforce all business rules for the XRC message prior to canceling a supervised release file record (CDCR Specific) in the SRF.","Enforce all business rules for the XRC message prior to canceling a supervised release file record (CDCR Specific) in the SRF.","New","hofmanc","False","Unassigned","3/3/2003","XRC",""
"02 SRF Functional Requirements","FR--4"," ","Inquiry","None","None","New","hofmanc","False","Unassigned","4","",""
"02 SRF Functional Requirements","FR--4.1","FR--4","Inquiry - QVC Inquiry (Full Response Format )","None","None","New","hofmanc","False","Unassigned","4/1/2008","",""
"02 SRF Functional Requirements","FR--4.1.1","FR--4.1","Inquiry - QVC Inquiry (Full Response Format )","Search the SRF for a supervised release file record when a QVC message (full response inquiry format) is accepted.","Search the SRF for a supervised release file record when a QVC message (full response inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/1/2001","QVC",""
"02 SRF Functional Requirements","FR--4.1.2","FR--4.1","Inquiry - QVC Inquiry (Full Response Format )","Enforce all business rules for the QVC message (full response inquiry format) prior to searching the SRF for a supervised release file record.","Enforce all business rules for the QVC message (full response inquiry format) prior to searching the SRF for a supervised release file record.","New","hofmanc","False","Unassigned","4/1/2002","QVC",""
"02 SRF Functional Requirements","FR--4.2","FR--4","Inquiry - QVC1 Inquiry (Full Response Format )","None","None","New","hofmanc","False","Unassigned","4/2/2008","",""
"02 SRF Functional Requirements","FR--4.2.1","FR--4.2","Inquiry - QVC1 Inquiry (Full Response Format )","Search the SRF for a supervised release file record when a QVC1 message (full response inquiry format) is accepted.","Search the SRF for a supervised release file record when a QVC1 message (full response inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/2/2001","QVC1",""
"02 SRF Functional Requirements","FR--4.2.2","FR--4.2","Inquiry - QVC1 Inquiry (Full Response Format )","Enforce all business rules for the QVC1 message (full response inquiry format) prior to searching the SRF for a supervised release file record.","Enforce all business rules for the QVC1 message (full response inquiry format) prior to searching the SRF for a supervised release file record.","New","hofmanc","False","Unassigned","4/2/2002","QVC1",""
"02 SRF Functional Requirements","FR--4.3","FR--4","Inquiry - QVCK Inquiry (Abbreviated Response Format)","None","None","New","hofmanc","False","Unassigned","4/3/2008","",""
"02 SRF Functional Requirements","FR--4.3.1","FR--4.3","Inquiry - QVCK Inquiry (Abbreviated Response Format)","Search the SRF for a supervised release file record when a QVCK message (abbreviated response inquiry format) is accepted.","Search the SRF for a supervised release file record when a QVCK message (abbreviated response inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/3/2001","QVCK",""
"02 SRF Functional Requirements","FR--4.3.2","FR--4.3","Inquiry - QVCK Inquiry (Abbreviated Response Format)","Enforce all business rules for the QVCK message (abbreviated response inquiry format) prior to searching the SRF for a supervised release file record.","Enforce all business rules for the QVCK message (abbreviated response inquiry format) prior to searching the SRF for a supervised release file record.","New","hofmanc","False","Unassigned","4/3/2002","QVCK",""
"02 SRF Functional Requirements","FR--4.4","FR--4","Inquiry - QCF Inquiry (FCN Format)","None","None","New","hofmanc","False","Unassigned","4/4/2008","",""
"02 SRF Functional Requirements","FR--4.4.1","FR--4.4","Inquiry - QCF Inquiry (FCN Format)","Search the SRF for a supervised release file record when a QCF message (FCN inquiry format) is accepted.","Search the SRF for a supervised release file record when a QCF message (FCN inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/4/2001","QCF",""
"02 SRF Functional Requirements","FR--4.4.2","FR--4.4","Inquiry - QCF Inquiry (FCN Format)","Enforce all business rules for the QCF message (FCN inquiry format) prior to searching the SRF for a supervised release file record.","Enforce all business rules for the QCF message (FCN inquiry format) prior to searching the SRF for a supervised release file record.","New","hofmanc","False","Unassigned","4/4/2002","QCF",""
"02 SRF Functional Requirements","FR--4.5","FR--4","Inquiry - QCA Inquiry (CDCR Parole Format)","None","None","New","hofmanc","False","Unassigned","4/5/2008","",""
"02 SRF Functional Requirements","FR--4.5.1","FR--4.5","Inquiry - QCA Inquiry (CDCR Parole Format)","Search the SRF for a CDCR parole record when a QCA message (CDCR parole inquiry format) is accepted.","Search the SRF for a CDCR parole record when a QCA message (CDCR parole inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/5/2001","QCA",""
"02 SRF Functional Requirements","FR--4.5.2","FR--4.5","Inquiry - QCA Inquiry (CDCR Parole Format)","Enforce all business rules for the QCA message (CDCR parole inquiry format) prior to searching the SRF for a CDCR Parole record.","Enforce all business rules for the QCA message (CDCR parole inquiry format) prior to searching the SRF for a CDCR Parole record.","New","hofmanc","False","Unassigned","4/5/2002","QCA",""
"02 SRF Functional Requirements","FR--4.6","FR--4","Inquiry - QYA Inquiry (CYA Parole Format)","None","None","New","hofmanc","False","Unassigned","4/6/2008","",""
"02 SRF Functional Requirements","FR--4.6.1","FR--4.6","Inquiry - QYA Inquiry (CYA Parole Format)","Search the SRF for a CYA parole record when a QYA message (CYA parole inquiry format) is accepted.","Search the SRF for a CYA parole record when a QYA message (CYA parole inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/6/2001","QYA",""
"02 SRF Functional Requirements","FR--4.6.2","FR--4.6","Inquiry - QYA Inquiry (CYA Parole Format)","Enforce all business rules for the QYA message (CYA parole inquiry format) prior to searching the SRF for a CYA Parole record.","Enforce all business rules for the QYA message (CYA parole inquiry format) prior to searching the SRF for a CYA Parole record.","New","hofmanc","False","Unassigned","4/6/2002","QYA",""
"02 SRF Functional Requirements","FR--4.7","FR--4","Inquiry - QPR Inquiry (County Probation Format)","None","None","New","hofmanc","False","Unassigned","4/7/2008","",""
"02 SRF Functional Requirements","FR--4.7.1","FR--4.7","Inquiry - QPR Inquiry (County Probation Format)","Search the SRF for a county probation record when a QPR message (county probation inquiry format) is accepted.","Search the SRF for a county probation record when a QPR message (county probation inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/7/2001","QPR",""
"02 SRF Functional Requirements","FR--4.7.2","FR--4.7","Inquiry - QPR Inquiry (County Probation Format)","Enforce all business rules for the QPR message (county probation inquiry format) prior to searching the SRF for a county probation record.","Enforce all business rules for the QPR message (county probation inquiry format) prior to searching the SRF for a county probation record.","New","hofmanc","False","Unassigned","4/7/2002","QPR",""
"02 SRF Functional Requirements","FR--4.8","FR--4","Inquiry - QFR Inquiry (Federal Probation Format)","None","None","New","hofmanc","False","Unassigned","4/8/2008","",""
"02 SRF Functional Requirements","FR--4.8.1","FR--4.8","Inquiry - QFR Inquiry (Federal Probation Format)","Search the SRF for a federal probation record when a QFR message (federal probation inquiry format) is accepted.","Search the SRF for a federal probation record when a QFR message (federal probation inquiry format) is accepted.","New","hofmanc","False","Unassigned","4/8/2001","QFR",""
